"Search for...";"Search products you are looking for.."
"Do you want the ""Report"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable logged-in users to report as inappropriate the photos that they can view (Members will also be able to mention the reason why they find the photo inappropriate.).";"Do you want the ""Report"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable logged-in users to report as inappropriate the photos that they can view (Consumers will also be able to mention the reason why they find the photo inappropriate.)."
"Enter the maximum number of times this coupon can be claimed by members. (Enter 0 for unlimited. Note: You will not be able to edit claims once this coupon expires.)";"Enter the maximum number of times this coupon can be claimed by consumers. (Enter 0 for unlimited. Note: You will not be able to edit claims once this coupon expires.)"
"_ACTIVITY_ACTIONTYPE_SITESTOREOFFER_NEW";"New showroom coupon creates by consumer"
"_EMAIL_SITESTOREOFFER_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and showroom admin of the Showroom when consumer create a showroom coupon in showroom."
"Enter the maximum number of times this coupon can be used by members. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)";"Enter the maximum number of times this coupon can be used by consumers. (Leave empty or Enter 0 for unlimited. Note: You will not be able to edit this filed once this coupon expires.)"
"Member Name";"Consumer Name"
"FORUM_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per
consumer level basis. Start by selecting the consumer level you want to modify,
then adjust the settings for that level below. Note that settings on this page
override the abilities granted to moderators. If you select ""No"" to an option,
even moderators will not be able to perform that action. Conversely, if you
select the ""Yes, even private ones""/""Yes, including other consumers'"" options,
they will be able to perform that action even if they are not a moderator."
"Yes, allow editing of topics in forums, including other members' topics.";"Yes, allow editing of topics in forums, including other consumers' topics."
"Yes, allow deletion of topics in forums, including other members' topics.";"Yes, allow deletion of topics in forums, including other consumers' topics."
"Yes, allow editing of posts, including other members' posts.";"Yes, allow editing of posts, including other consumers' posts."
"Yes, allow deletion of posts, including other members' posts.";"Yes, allow deletion of posts, including other consumers' posts."
"Search for a member to add as a moderator for this forum.";"Search for a consumer to add as a moderator for this forum."
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_DESCRIPTION";"This email is sent to the consumer when people reply to forum topics that the consumer created."
"_EMAIL_NOTIFY_FORUM_TOPIC_REPLY_SUBJECT";"A consumer has posted a reply to your topic ""[object_title]"" in the forum ""[object_parent_title]"""
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_DESCRIPTION";"This email is sent to the consumer when people reply to forum topics that the consumer replied to."
"_EMAIL_NOTIFY_FORUM_TOPIC_RESPONSE_SUBJECT";"A consumer has posted a reply to the topic ""[object_title]"" you replied to in the forum ""[object_parent_title]"""
"_EMAIL_NOTIFY_FORUM_PROMOTE_DESCRIPTION";"This email is sent when a consumer is promoted to moderator in a forum."
"Posting Member's Profile";"Posting Consumer's Profile"
"ALBUM_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per consumer level basis. Start by selecting the consumer level you want to modify, then adjust the settings for that level below."
"Yes, allow members to view all albums, even private ones.";"Yes, allow consumers to view all albums, even private ones."
"Do you want to let members of this level edit photo albums?";"Do you want to let consumers of this level edit photo albums?"
"Yes, allow members to edit their own albums.";"Yes, allow consumers to edit their own albums."
"Yes, allow members to edit all albums.";"Yes, allow consumers to edit all albums."
"ALBUM_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their albums. These options appear on your users' ""Create Album"" and ""Edit Album"" pages. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"ALBUM_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post comments on their albums and photos. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"ALBUM_FORM_ADMIN_LEVEL_AUTHTAG_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post tags on their albums and photos. If you do not check any options, settings will default to the last saved configuration. If you select only one option, consumers of this level will not have a choice."
"Do you want to let members of this level delete photo albums?";"Do you want to let consumers of this level delete photo albums?"
"Yes, allow members to delete all photo albums.";"Yes, allow consumers to delete all photo albums."
"Yes, allow members to delete their own photo albums.";"Yes, allow consumers to delete their own photo albums."
"No, do not allow members to delete their photo albums.";"No, do not allow consumers to delete their photo albums."
"Do you want to let members of this level comment on photo albums?";"Do you want to let consumers of this level comment on photo albums?"
"Yes, allow members to comment on all photo albums, including private ones.";"Yes, allow consumers to comment on all photo albums, including private ones."
"Yes, allow members to comment on albums.";"Yes, allow consumers to comment on albums."
"No, do not allow members to comment on photo albums.";"No, do not allow consumers to comment on photo albums."
"Add Member Level";"Add Consumer Level"
"View Member Levels";"View Consumer Levels"
"Member Level Edited.";"Consumer Level Edited."
"Delete the selected member level?";"Delete the selected consumer level?";"Delete the selected consumer levels?"
"Are you sure that you want to delete this member level? It will not be recoverable after being deleted.";"Are you sure that you want to delete this consumer level? It will not be recoverable after being deleted.";"Are you sure that you want to delete these %d consumer levels? They will not be recoverable after being deleted."
"AUTHORIZATION_VIEWS_SCRIPTS_ADMINLEVEL_DESCRIPTION";"Consumer levels can be used to give certain consumers more privileges than others. You can grant/restrict a member level's access to features, sections of the community. You can also assign levels that have moderation or administrative capabilities.<br /><br />One of your member levels must be marked as the ""default level"". When new members sign up, they will automatically belong to this level. You can change a specific member's level by editing their account details from the %s page. If you want all members in your community to have the same features and limits, you will only need a single member level (aside from the Super Admin level)."
"%d member";"%d consumer";"%d consumers"
"AUTHORIZATION_FORM_ADMIN_LEVEL_EDIT_DESCRIPTION";"Please provide some information about this new consumer level. Remember, consumer levels are useful for giving some consumers more privileges or granting them moderation abilities. If you just want to create different profile types (i.e. ""Fans"" and ""Bands""), please visit the Profile Questions area."
"Are you sure you want to delete this level? Members in this level will be re-assigned to the default level.";"Are you sure you want to delete this level? Consumers in this level will be re-assigned to the default level."
"Create Member Level";"Create Consumer Level"
"AUTHORIZATION_VIEWS_SCRIPTS_ADMINLEVEL_DESCRIPTION";"Consumer levels can be used to give certain consumers more privileges than others. You can grant/restrict a consumer level's access to features, sections of the community. You can also assign levels that have moderation or administrative capabilities.<br /><br />One of your consumer levels must be marked as the ""default level"". When new consumers sign up, they will automatically belong to this level. You can change a specific consumer's level by editing their account details from the %s page. If you want all consumers in your community to have the same features and limits, you will only need a single consumer level (aside from the Super Admin level)."
"Member Level Name";"Consumer Level Name"
"Yes, allow members in this level to delete any feed item.";"Yes, allow consumers in this level to delete any feed item."
"Yes, allow members in this level to edit other profiles and settings.";"Yes, allow consumers in this level to edit other profiles and settings."
"Yes, allow members in this level to edit other custom profile styles.";"Yes, allow consumers in this level to edit other custom profile styles."
"Yes, allow members in this level to delete other users.";"Yes, allow consumers in this level to delete other users."
"Yes, allow members to delete their account.";"Yes, allow consumers to delete their account."
"Member Level";"Consumer Level"
"Do you want to enable 'Save to foursquare' buttons for the stores created by members of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of stores having location information. These buttons will enable store visitors to add the store's place or tip to their foursquare To-Do List. Store Admins will get this option in the ""Marketing"" section of their Dashboard.)";"Do you want to enable 'Save to foursquare' buttons for the showrooms created by consumers of this level? (Using this, 'Save to foursquare' buttons will be shown on profiles of showrooms having location information. These buttons will enable showroom visitors to add the showroom's place or tip to their foursquare To-Do List. Showroom Admins will get this option in the ""Marketing"" section of their Dashboard.)"
"Show on Browse Members Store?";"Show on Browse Consumers Showroom?"
"Hide on Browse Members";"Hide on Browse Consumers"
"Show on Browse Members";"Show on Browse consumers"
"Show on Member Profiles?";"Show on Consumer Profiles?"
"Show on Member Profiles";"Show on Consumer Profiles"
"Show on Member Profiles (with links)";"Show on Consumer Profiles (with links)"
"Hide on Member Profiles";"Hide on Consumer Profiles"
"This Button will enable store visitors to add the Store\'s place or tip to their foursquare To-Do List, if the Store admin has entered its code. There is also Member Level and Package setting for this button.";"This Button will enable showroom visitors to add the Showroom\'s place or tip to their foursquare To-Do List, if the Showroom admin has entered its code. There is also Consumer Level and Package setting for this button."
"Member Id";"Consumer Id"
"Delete the selected members?";"Delete the selected consumers?"
"Are you sure that you want to delete the %d members? These will not be recoverable after being deleted.";"Are you sure that you want to delete the %d consumers? These will not be recoverable after being deleted."
"Please select a member to be deleted.";"Please select a consumer to be deleted."
"Add Member";"Add Consumer"
"After giving this permission members can edit categories but it can cause content loss like reviews rating data, profile type details etc.";"After giving this permission consumers can edit categories but it can cause content loss like reviews rating data, profile type details etc."
"Note: Some blocks won\'t appear if their apps or features are not available to your member level.";"Note: Some blocks won\'t appear if their apps or features are not available to your consumers level."
"You have created a store that requires payment. You will be taken to a secure checkout area where you can pay for your store. Remember to continue back to our site after your purchase.";"You have created a showroom that requires payment. You will be taken to a secure checkout area where you can pay for your showroom. Remember to continue back to our site after your purchase."
